# Data: PREM
# Reference: Dziewonski and Anderson (1981), doi:10.17611/DP/10131390
# X	Y	Depth/km	Vph/km/s	Vsh/km/s
0	0	50	8.17176	4.58883
0	0	60	8.16452	4.57985
0	0	70	8.15727	4.57088
0	0	80	8.15002	4.5619
0	0	80	8.15002	4.5619
0	0	90	8.14278	4.55293
0	0	100	8.13553	4.54396
0	0	110	8.12828	4.53498
0	0	120	8.12103	4.52601
0	0	130	8.11379	4.51703
0	0	140	8.10654	4.50806
0	0	150	8.09929	4.49908
0	0	160	8.09204	4.49011
0	0	170	8.0848	4.48113
0	0	180	8.07755	4.47216
0	0	190	8.0703	4.46319
0	0	200	8.06306	4.45421
